2: Initial model,﻿2: Initial model-nodes,﻿2: Initial model-collectorNodes,﻿2: Initial model-graphs,﻿2: Initial model-feedbackGraphs,﻿2: Initial model-multiPathGraphs,﻿2: Initial model-branchedGraphs,﻿2: Initial model-linearGraphs,﻿2: Initial model-multiLinkTargetNodes,﻿2: Initial model-unconnectedNodes,﻿2: Initial model-links
,,,,,,,,,,
https://codap.concord.org/releases/latest/static/dg/en/cert/index.html?launchFromLara=eyJyZWNvcmRpZCI6MTcwOTY1LCJhY2Nlc3NLZXlzIjp7InJlYWRPbmx5IjoiMGZjZmNlMDRmMDVhOTUzNjkxODM1ZDc5ZWU5OTk1M2NkNzllNDVhYSJ9fQ,3,0,1,0,0,1,0,1,0,2
https://codap.concord.org/releases/latest/static/dg/en/cert/index.html?launchFromLara=eyJyZWNvcmRpZCI6MTcwOTYzLCJhY2Nlc3NLZXlzIjp7InJlYWRPbmx5IjoiMTI0Mzc1ODJiMWVjNzFhOTAzYmIwNDg5NGIzODE2MDY1MjY0YmJkZiJ9fQ,6,0,1,0,1,1,0,1,0,6
https://codap.concord.org/releases/latest/static/dg/en/cert/index.html?launchFromLara=eyJyZWNvcmRpZCI6MTcwOTYzLCJhY2Nlc3NLZXlzIjp7InJlYWRPbmx5IjoiMTI0Mzc1ODJiMWVjNzFhOTAzYmIwNDg5NGIzODE2MDY1MjY0YmJkZiJ9fQ,6,0,1,0,1,1,0,1,0,6
https://codap.concord.org/releases/latest/static/dg/en/cert/index.html?launchFromLara=eyJyZWNvcmRpZCI6MTcxODQ1LCJhY2Nlc3NLZXlzIjp7InJlYWRPbmx5IjoiODRhZDQ4NDQ0OWE3MTNlZjIxMjc4YjhlNWM3ZDYxMzI5NmZlZTdjNyJ9fQ,5,0,1,0,1,1,0,1,0,4
https://codap.concord.org/releases/latest/static/dg/en/cert/index.html?launchFromLara=eyJyZWNvcmRpZCI6MTcwOTY4LCJhY2Nlc3NLZXlzIjp7InJlYWRPbmx5IjoiMTJkOTBiNWZhNjhlMmY4MTU4Y2IzYjY2NThhOTg1ZDkwMGE3ODE3OSJ9fQ,4,0,1,0,0,1,0,1,0,3
https://codap.concord.org/releases/latest/static/dg/en/cert/index.html?launchFromLara=eyJyZWNvcmRpZCI6MTcwOTY1LCJhY2Nlc3NLZXlzIjp7InJlYWRPbmx5IjoiMGZjZmNlMDRmMDVhOTUzNjkxODM1ZDc5ZWU5OTk1M2NkNzllNDVhYSJ9fQ,3,0,1,0,0,1,0,1,0,2
https://codap.concord.org/releases/latest/static/dg/en/cert/index.html?launchFromLara=eyJyZWNvcmRpZCI6MTcwOTYzLCJhY2Nlc3NLZXlzIjp7InJlYWRPbmx5IjoiMTI0Mzc1ODJiMWVjNzFhOTAzYmIwNDg5NGIzODE2MDY1MjY0YmJkZiJ9fQ,6,0,1,0,1,1,0,1,0,6
https://codap.concord.org/releases/latest/static/dg/en/cert/index.html?launchFromLara=eyJyZWNvcmRpZCI6MTcwOTY4LCJhY2Nlc3NLZXlzIjp7InJlYWRPbmx5IjoiMTJkOTBiNWZhNjhlMmY4MTU4Y2IzYjY2NThhOTg1ZDkwMGE3ODE3OSJ9fQ,4,0,1,0,0,1,0,1,0,3
https://codap.concord.org/releases/latest/static/dg/en/cert/index.html?launchFromLara=eyJyZWNvcmRpZCI6MTcwOTY0LCJhY2Nlc3NLZXlzIjp7InJlYWRPbmx5IjoiYWNkM2FjYzExMzFhY2UzY2NlNGY4Nzc5YzZkMmQzYjdlYjM1OWRhYyJ9fQ,3,0,1,0,0,1,0,1,0,2
https://codap.concord.org/releases/latest/static/dg/en/cert/index.html?launchFromLara=eyJyZWNvcmRpZCI6MTcwOTY4LCJhY2Nlc3NLZXlzIjp7InJlYWRPbmx5IjoiMTJkOTBiNWZhNjhlMmY4MTU4Y2IzYjY2NThhOTg1ZDkwMGE3ODE3OSJ9fQ,4,0,1,0,0,1,0,1,0,3
